GRB_id,logTa_best,logTa_min,logTa_max,logTt,logTfinal,alpha_best,alpha_min,alpha_max,logFa,logFa_min,logFa_max
GRB081008,3.855508334,3.79922265,3.911794018,3,6,1.473984673,1.409995994,1.537973352,-10.79325557,-10.85378546,-10.73272568
GRB081028A,4.75426,4.7306,4.7911,3.7,6,2.20023,2.15344,2.26287,-11.3994,-11.4547,-11.3403
GRB081029,4.481561711,4.438708301,4.52441512,2.5,6,2.519603733,2.350405212,2.688802254,-11.86226923,-11.94552003,-11.77901842
GRB081221,2.931957486,2.900780835,2.963134137,2.4,6,1.235861256,1.222999399,1.248723112,-9.354590372,-9.379575872,-9.329604872
GRB081230,3.669593645,3.582243375,3.756943914,2.5,6,0.993764978,0.95338356,1.034146396,-11.3297064,-11.3998508,-11.259562
GRB090102,3.153800766,3.11221042,3.195391111,2,6,1.424876309,1.403089714,1.446662905,-9.456627445,-9.492867428,-9.420387462
GRB090205,3.70655,3.61227,3.84144,2.6,6,1.29089,1.20754,1.37591,-11.3423,-11.4754,-11.2065
GRB090418A,3.528136567,3.497377547,3.558895588,2.1,5.6,1.529096669,1.486942155,1.571251182,-10.04734554,-10.07600494,-10.01868613
GRB090424,2.995990561,2.982595747,3.009385375,2.3,6.5,1.128410598,1.122863712,1.133957485,-9.050589497,-9.061846595,-9.039332398
GRB090510,3.17793555,3.142933083,3.212938016,2,5,2.00074629,1.929305882,2.072186698,-10.11471036,-10.15694036,-10.07248037
GRB090516,4.33113504,4.301419725,4.360850355,3,6,1.760983139,1.70763155,1.814334727,-11.27458086,-11.31237691,-11.23678481
GRB090529,4.472757799,4.253752459,4.691763138,3.3,6,0.8815438,0.767868578,0.995219022,-12.1873998,-12.30287914,-12.07192046
GRB090530,3.683946399,3.56858137,3.799311427,2.7,6,0.886105811,0.847591609,0.924620012,-11.16037428,-11.2495499,-11.07119865
GRB090618,3.672754528,3.658508915,3.68700014,2.8,6,1.309428612,1.298836996,1.320020228,-9.639275838,-9.648971093,-9.629580584
GRB090809,4.56066,4.32235,4.79808,3.9,5.5,1.6367,1.22327,1.86208,-11.8559,-12.1374,-11.4614
GRB090927,4.201218887,4.107976938,4.294460836,3,6,1.130877409,1.056033438,1.20572138,-11.67225839,-11.74852686,-11.59598991
GRB091018,2.896555345,2.862057467,2.931053222,1.9,6,1.180748671,1.164413557,1.197083785,-9.626765539,-9.651054142,-9.602476935
GRB091020,2.952650108,2.907378853,2.997921363,2.4,6,1.174172639,1.155927778,1.1924175,-9.71287528,-9.747355967,-9.678394593
GRB091029,4.303689975,4.269465973,4.337913978,2.8,6.3,1.121233681,1.094451657,1.148015706,-11.34682089,-11.37245441,-11.32118737
GRB091109A,3.379338831,3.305069955,3.453607708,2.65,6,1.061528156,1.027808585,1.095247728,-11.14600534,-11.20541568,-11.086595
